"Title","Beschrijving","Vastgoed_Type","Vastgoed_Status","ID","Created Date","Updated Date","Owner","Llyda_Vastgoed Detail (Title)","prijs","AdresStraat","AdresPostcode","AdresPlaats","Type2","gps","LijstFoto"
"LLYDA IX - Waagmeers","<p>Nog aan te vullen door <span style=""background-color:#ffffff"">KELLY</span></p>","4dc13dd9-738b-46ab-9cee-a4a1c9c3f7f8","609b32bd-87df-4192-a8ca-1705ca1d3125","083c2ca7-361c-4667-866c-a4b0a52c1e1d",2018-11-16T12:33:27Z,2018-11-16T12:37:20Z,"50f02154-94d5-4c7c-8e73-8b2dba86bb90","/Llyda-Vastgoed/Detail/LLYDA-IX---Waagmeers",0,"Test",,,,,"image://v1/50f021_3c858d8d773b4756880156a31693419b~mv2.jpg/1122_960/voorgevel%20waagmeers.jpg"
"Residentie TARTINI",,"437b330f-2cec-44ec-bb87-c839570d871e","76d51fea-c941-4c83-b141-84bdc529d571","11105781-e606-43ba-9611-1873eb15e08d",2018-09-23T13:29:04Z,2018-09-25T14:57:27Z,,"/Llyda-Vastgoed/Detail/Residentie-TARTINI",0,"Hoek Romeinsesteenweg / Oude Lindestraat 30","1800","Vilvoorde (Koningslo)",,,"image://v1/e9a9d1_10cf98a8d9924d33bc8c29a535e146bc~mv2.jpg/625_318/Tartini01%5B1%5D.jpg"
"Residentie CORELLI",,"437b330f-2cec-44ec-bb87-c839570d871e","76d51fea-c941-4c83-b141-84bdc529d571","9d85ab58-31f8-4a88-8a3f-f2395fe28869",2018-09-23T13:28:08Z,2018-09-25T14:57:27Z,,"/Llyda-Vastgoed/Detail/Residentie-CORELLI",0,"Hoek Brusselsesteenweg / Dedonderstraat 2A","1860","Meise",,,"image://v1/e9a9d1_2c0b2c61a2884aec8cdbbb7d755dea42~mv2.jpg/625_318/Corelli01%5B1%5D.jpg"
"LLYDA II - 5 woningen",,"4dc13dd9-738b-46ab-9cee-a4a1c9c3f7f8","76d51fea-c941-4c83-b141-84bdc529d571","d540769f-8e4c-4078-912e-8fd47cb93a9f",2018-09-23T13:27:00Z,2018-09-25T14:57:28Z,,"/Llyda-Vastgoed/Detail/LLYDA-II---5-woningen",0,"Brouwerijhof","1785","Merchtem (Brussegem)",,,"image://v1/e9a9d1_e0a62651ece041a08bb47f8358e845d5~mv2.jpg/625_318/LlydaII01%5B1%5D.jpg"
"Residentie ZOLTAN KODALY",,"437b330f-2cec-44ec-bb87-c839570d871e","76d51fea-c941-4c83-b141-84bdc529d571","5d686a13-2cd7-4a82-8236-f6f9286db32e",2018-09-23T13:26:13Z,2018-09-25T14:57:27Z,,"/Llyda-Vastgoed/Detail/Residentie-ZOLTAN-KODALY",0,"Ringlaan 74","1745","Opwijk",,,"image://v1/e9a9d1_50c61d67456e4bb8ad62a0da7853e8f7~mv2.jpg/625_318/ZoltanKodaly01%5B1%5D.jpg"
"Residentie BOROWSKI",,"437b330f-2cec-44ec-bb87-c839570d871e","76d51fea-c941-4c83-b141-84bdc529d571","5a35cb56-e088-4b6e-81fe-4faf14f4baa2",2018-09-23T13:25:25Z,2018-09-25T14:57:27Z,,"/Llyda-Vastgoed/Detail/Residentie-BOROWSKI",0,"Wolvertemsesteenweg 15A","1785","Merchtem",,,"image://v1/e9a9d1_1a4d24a07003402880227dc948216f15~mv2.jpg/625_318/Borowski01%5B1%5D.jpg"
"Residentie LANDINO II",,"437b330f-2cec-44ec-bb87-c839570d871e","76d51fea-c941-4c83-b141-84bdc529d571","fe40962e-444c-4c30-b6b6-433a383c667e",2018-09-23T13:24:42Z,2018-09-25T14:57:28Z,,"/Llyda-Vastgoed/Detail/Residentie-LANDINO-II",0,"Oude Pastoriedreef 35/37/39","1745","Opwijk",,,"image://v1/e9a9d1_712e128435b5411cbe4e0b633604a748~mv2.jpg/625_318/LandinoII01%5B1%5D.jpg"
"Residentie LANDINO I",,"437b330f-2cec-44ec-bb87-c839570d871e","76d51fea-c941-4c83-b141-84bdc529d571","1c2effb2-d334-4d84-9626-6304a56a8cb5",2018-09-23T13:23:28Z,2018-09-25T14:57:27Z,,"/Llyda-Vastgoed/Detail/Residentie-LANDINO-I",0,"Oude Pastoriedreef 29/31/33","1745","Opwijk",,,"image://v1/e9a9d1_d09a82b4d61a4c429bf43d526596a94d~mv2.jpg/625_318/LandinoI01%5B1%5D.jpg"
"Residentie INDY",,"437b330f-2cec-44ec-bb87-c839570d871e","76d51fea-c941-4c83-b141-84bdc529d571","19e74dec-0a8a-422e-8f3a-104c2510b576",2018-09-23T13:22:58Z,2018-09-25T14:57:27Z,,"/Llyda-Vastgoed/Detail/Residentie-INDY",0,"Stationsstraat 137","1785","Merchtem",,,"image://v1/e9a9d1_c11d826efe104e5dad0f2a7a833246dd~mv2.jpg/625_318/Indy01%5B1%5D.jpg"
"Residentie LASSO",,"437b330f-2cec-44ec-bb87-c839570d871e","76d51fea-c941-4c83-b141-84bdc529d571","2efba68f-a910-49e4-9f68-a3cac6260269",2018-09-23T13:22:09Z,2018-09-25T14:57:27Z,,"/Llyda-Vastgoed/Detail/Residentie-LASSO",0,"Puursstraat 26-28","1785","Merchtem",,,"image://v1/e9a9d1_7bafe0cd476f4d7695df516e4fa5cc4b~mv2.jpg/625_318/Lasso01%5B1%5D.jpg"
