"Title","ID","Created Date","Updated Date","Owner"
"Penthouse","ecdf6681-198e-41e6-aad2-28d5ba65d462",2018-11-16T14:28:58Z,2018-11-16T14:29:08Z,"e9a9d102-1095-453d-930e-6b1fe39afdfa"
"Commerciële ruimte","750face9-397e-4a47-90e6-718b0b55bfd3",2018-11-16T12:41:32Z,2018-11-16T12:41:49Z,"50f02154-94d5-4c7c-8e73-8b2dba86bb90"
"Grond","f5e040f2-edec-4642-a7a3-2043d5b10ae2",2018-09-16T08:03:32Z,2018-09-16T08:03:39Z,"50f02154-94d5-4c7c-8e73-8b2dba86bb90"
"Bergruimte","b9f2f2bf-a20f-4dc6-a30d-aa70860621f0",2018-09-16T08:03:20Z,2018-11-16T14:29:18Z,"50f02154-94d5-4c7c-8e73-8b2dba86bb90"
"Andere","2a2a4c73-a2b6-4e33-9afd-39092e66bac4",2018-09-13T15:28:45Z,2018-09-13T15:29:03Z,"50f02154-94d5-4c7c-8e73-8b2dba86bb90"
"Staanplaats","c2f332a5-e022-44eb-8f50-1655b5ada674",2018-09-13T15:28:35Z,2018-09-13T15:28:45Z,"50f02154-94d5-4c7c-8e73-8b2dba86bb90"
"Garage","6f0b0072-c7c6-4cbb-9d0c-9a67b5213d50",2018-09-13T15:28:30Z,2018-09-13T15:28:35Z,"50f02154-94d5-4c7c-8e73-8b2dba86bb90"
"Woning","4dc13dd9-738b-46ab-9cee-a4a1c9c3f7f8",2018-09-13T15:28:04Z,2018-11-16T12:40:05Z,"50f02154-94d5-4c7c-8e73-8b2dba86bb90"
"Studio","1506bffa-118e-4304-8b59-6d666ea7ef05",2018-09-13T15:27:56Z,2018-09-13T15:28:04Z,"50f02154-94d5-4c7c-8e73-8b2dba86bb90"
"Appartement","437b330f-2cec-44ec-bb87-c839570d871e",2018-09-13T15:27:55Z,2018-11-16T12:42:36Z,"50f02154-94d5-4c7c-8e73-8b2dba86bb90"
